,year,mileage,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
1816,2019,9888,1.5,0,0,0,1,0,0,0,1,24599
1817,2017,21516,2.1,0,0,0,1,1,0,0,0,17599
1818,2019,6184,1.5,0,0,0,1,0,0,0,1,25699
1819,2019,9829,2.0,0,0,0,1,1,0,0,0,30399
1820,2016,39721,2.1,0,0,0,1,1,0,0,0,15199
1821,2016,35207,2.1,0,0,0,1,1,0,0,0,20299
1822,2017,26935,2.1,0,0,0,1,1,0,0,0,22999
1823,2019,1000,2.0,0,0,0,1,1,0,0,0,31299
1824,2019,1000,2.0,0,0,0,1,1,0,0,0,36539
1825,2015,48000,2.1,0,0,0,1,1,0,0,0,16699
1826,2017,19169,2.1,0,0,0,1,1,0,0,0,24499
1827,2019,5669,2.0,0,0,0,1,1,0,0,0,33799
1828,2016,9272,2.1,0,0,0,1,1,0,0,0,21099
1829,2016,35459,2.1,0,0,0,1,1,0,0,0,16499
1830,2019,7499,1.5,1,0,0,0,0,0,0,1,32495
1831,2019,5999,2.0,1,0,0,0,1,0,0,0,34995
1832,2020,1499,3.0,0,0,0,1,0,0,0,1,54995
1833,2017,29979,2.0,0,0,0,1,0,0,0,1,18495
1834,2017,37756,2.1,0,0,0,1,1,0,0,0,18795
1835,2019,12449,1.5,1,0,0,0,0,0,0,1,23495
1836,2019,18,2.0,0,0,0,1,0,0,0,1,33995
1837,2019,16,2.0,0,0,0,1,0,0,0,1,30995
1838,2018,9055,2.0,1,0,0,0,1,0,0,0,26595
1839,2019,1218,2.0,1,0,0,0,1,0,0,0,30950
1840,2019,10004,4.0,0,0,0,1,0,0,0,1,41750
1841,2019,6296,1.6,1,0,0,0,1,0,0,0,26949
1842,2019,4320,2.0,1,0,0,0,0,0,0,1,28950
1843,2019,5367,3.0,0,0,0,1,0,0,0,1,40890
1844,2016,32720,2.1,1,0,0,0,1,0,0,0,18950
1845,2019,12091,1.5,0,0,0,1,0,0,0,1,20599
1846,2019,13571,2.0,0,0,0,1,1,0,0,0,25799
1847,2019,13741,2.0,0,0,0,1,1,0,0,0,28749
1848,2019,2983,2.0,0,0,0,1,1,0,0,0,30949
1849,2019,13628,2.0,0,0,0,1,1,0,0,0,20699
1850,2019,9959,2.0,0,0,0,1,1,0,0,0,29799
1851,2019,9,2.0,0,0,0,1,1,0,0,0,29995
1852,2019,1000,2.0,0,0,0,1,1,0,0,0,33789
1853,2016,68770,2.1,0,0,0,1,0,1,0,0,19599
1854,2017,5376,3.0,0,0,0,1,0,0,0,1,34849
1855,2017,15252,2.0,0,1,0,0,0,0,0,1,15699
1856,2019,9809,2.0,0,0,0,1,1,0,0,0,29649
1857,2017,35782,2.1,0,0,0,1,1,0,0,0,21449
1858,2015,32119,2.1,0,0,0,1,1,0,0,0,16999
1859,2019,1066,1.6,0,1,0,0,0,0,0,1,24039
1860,2016,47309,2.1,0,0,0,1,1,0,0,0,17799
1861,2017,28408,2.1,0,0,0,1,1,0,0,0,20099
1862,2018,5454,2.0,0,0,0,1,1,0,0,0,28389
1863,2018,8641,1.5,0,0,0,1,0,0,0,1,22849
1864,2019,14426,1.5,0,0,0,1,0,0,0,1,20249
1865,2019,13807,2.0,0,0,0,1,1,0,0,0,25749
1866,2019,12880,2.0,0,0,0,1,1,0,0,0,24049
1867,2019,7144,1.5,0,0,0,1,0,0,0,1,25799
1868,2019,10061,1.5,0,0,0,1,0,0,0,1,25299
1869,2019,14009,1.5,0,0,0,1,0,0,0,1,19849
1870,2019,13938,1.5,0,0,0,1,0,0,0,1,19849
1871,2019,10272,1.5,0,0,0,1,0,0,0,1,25949
1872,2019,7382,1.5,0,0,0,1,0,0,0,1,26449
1873,2016,34400,2.1,0,0,0,1,1,0,0,0,20199
1874,2017,21212,2.1,0,0,0,1,1,0,0,0,23999
1875,2019,2000,1.5,0,0,0,1,0,0,0,1,31199
1876,2019,15764,1.5,0,0,0,1,0,0,0,1,24249
1877,2019,2000,1.6,0,1,0,0,1,0,0,0,23199
1878,2019,16121,2.0,0,0,0,1,1,0,0,0,25499
1879,2019,12394,2.0,0,0,0,1,1,0,0,0,20999
1880,2018,6501,1.6,0,0,0,1,1,0,0,0,18449
1881,2019,8559,2.0,0,0,0,1,1,0,0,0,29749
1882,2019,2000,2.0,0,0,0,1,1,0,0,0,28799
1883,2017,33475,3.0,0,0,0,1,0,0,0,1,27699
1884,2017,19906,2.0,0,0,0,1,0,0,0,1,22399
1885,2019,3822,2.0,0,0,0,1,0,0,0,1,34499
1886,2019,10525,2.0,0,0,0,1,1,0,0,0,30249
1887,2019,20480,1.5,0,0,0,1,0,0,0,1,21449
1888,2019,13516,1.5,0,0,0,1,0,0,0,1,19899
1889,2019,15669,1.5,0,0,0,1,0,0,0,1,19599
1890,2019,13894,2.0,0,0,0,1,1,0,0,0,25749
1891,2019,8214,1.5,0,0,0,1,0,0,0,1,26299
1892,2015,46000,2.1,0,0,0,1,1,0,0,0,14899
1893,2019,5766,2.0,0,0,0,1,1,0,0,0,29699
1894,2019,15391,2.0,0,0,0,1,1,0,0,0,25599
1895,2018,11896,1.5,0,0,0,1,0,0,0,1,23899
1896,2019,11700,1.5,0,0,0,1,0,0,0,1,26499
1897,2019,15028,1.5,0,0,0,1,0,0,0,1,24399
1898,2019,5005,2.0,0,0,0,1,1,0,0,0,28299
1899,2019,14496,1.5,0,0,0,1,0,0,0,1,20299
1900,2019,5979,2.0,0,0,0,1,0,0,0,1,29999
1901,2019,10776,2.0,0,0,0,1,1,0,0,0,20849
1902,2019,2874,2.0,0,0,0,1,1,0,0,0,29649
1903,2019,13731,2.0,0,0,0,1,1,0,0,0,20999
1904,2019,14936,2.0,0,0,0,1,1,0,0,0,25699
1905,2019,15067,2.0,0,0,0,1,1,0,0,0,25699
1906,2017,35600,2.0,0,0,0,1,0,0,0,1,14999
1907,2019,6266,2.0,0,0,0,1,1,0,0,0,29999
1908,2016,42500,2.1,0,0,0,1,1,0,0,0,14499
1909,2016,26000,2.1,0,0,0,1,1,0,0,0,19499
1910,2019,9063,2.0,0,0,0,1,1,0,0,0,24299
1911,2019,15242,2.0,0,0,0,1,1,0,0,0,23499
1912,2019,7000,2.0,0,0,0,1,1,0,0,0,25500
1913,2016,18648,3.0,1,0,0,0,0,0,0,1,30500
1914,2019,2800,4.0,1,0,0,0,0,0,0,1,67000
1915,2017,46512,2.1,0,0,0,1,1,0,0,0,22000
1916,2017,29543,2.1,0,0,0,1,1,0,0,0,20600
