,year,price,mileage,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
382,2016,17770,27306.0,2.1,0,0,0,1,1,0,0,0
383,2017,18433,34278.0,2.1,0,0,0,1,1,0,0,0
384,2016,21440,26600.0,2.1,0,0,0,1,1,0,0,0
385,2017,22170,19155.0,2.1,0,0,0,1,1,0,0,0
386,2017,21115,31538.0,2.1,0,0,0,1,1,0,0,0
387,2019,21497,3539.0,1.6,0,0,0,1,1,0,0,0
388,2019,28400,1287.0,2.0,0,0,0,1,1,0,0,0
389,2016,22765,25178.0,2.1,1,0,0,0,1,0,0,0
390,2018,22880,23061.0,2.1,0,0,0,1,1,0,0,0
391,2019,22455,3761.0,1.5,1,0,0,0,0,0,0,1
392,2017,17330,22684.0,2.1,0,0,0,1,1,0,0,0
393,2017,18795,46294.0,2.1,1,0,0,0,1,0,0,0
394,2016,15220,39656.0,2.1,0,0,0,1,1,0,0,0
395,2017,21440,13096.0,2.1,0,0,0,1,1,0,0,0
396,2017,20200,21462.0,2.1,0,0,0,1,1,0,0,0
397,2018,19660,5232.0,1.6,0,0,0,1,1,0,0,0
398,2017,22990,15527.0,2.1,0,0,0,1,1,0,0,0
399,2018,22770,21200.0,2.1,0,0,0,1,1,0,0,0
400,2018,19775,45335.0,2.1,0,0,0,1,1,0,0,0
401,2017,24660,9873.0,2.1,0,0,0,1,1,0,0,0
402,2017,33495,22574.0,4.0,0,0,0,1,0,0,0,1
403,2019,26890,1705.0,1.6,0,0,0,1,0,0,0,1
404,2019,26885,2622.0,1.6,0,0,0,1,0,0,0,1
405,2019,34790,5298.0,2.0,0,0,0,1,1,0,0,0
406,2017,18495,22994.0,2.0,0,0,0,1,0,0,0,1
407,2016,15699,30301.0,2.1,0,0,0,1,1,0,0,0
408,2017,18499,28480.0,1.6,0,0,0,1,1,0,0,0
409,2018,24799,20087.0,2.0,0,0,0,1,0,0,0,1
